id,month,day,year
1,Jan,1,2023
2,Jan,8,2023
3,Jan,15,2023
4,Jan,22,2023
5,Jan,29,2023
6,Feb,6,2023
7,Feb,14,2023
8,Feb,21,2023
9,Feb,28,2023
10,Mar,7,2023
11,Mar,16,2023
12,Mar,23,2023
13,Mar,30,2023
14,Apr,5,2023
15,Apr,14,2023
16,Apr,20,2023
17,Apr,28,2023
18,May,6,2023
19,May,15,2023
20,May,21,2023
21,May,29,2023
22,Jun,3,2023
23,Jun,12,2023
24,Jun,19,2023
25,Jun,27,2023
26,Jul,4,2023
27,Jul,13,2023
28,Jul,21,2023
29,Jul,29,2023
30,Aug,6,2023
31,Aug,16,2023
32,Aug,22,2023
33,Aug,30,2023
34,Sep,7,2023
35,Sep,15,2023
36,Sep,24,2023
37,Oct,2,2023
38,Oct,10,2023
39,Oct,18,2023
40,Oct,26,2023
41,Nov,3,2023
42,Nov,12,2023
43,Nov,21,2023
44,Nov,29,2023
45,Dec,7,2023
46,Dec,16,2023
47,Dec,24,2023
48,Jan,1,2024
49,Jan,9,2024
50,Jan,17,2024
51,Jan,25,2024
52,Feb,2,2024
53,Feb,10,2024
54,Feb,19,2024
55,Feb,27,2024
56,Mar,6,2024
57,Mar,14,2024
58,Mar,22,2024
59,Mar,30,2024
60,Apr,7,2024
61,Apr,15,2024
62,Apr,23,2024
63,May,1,2024
64,May,9,2024
65,May,17,2024
66,May,25,2024
67,Jun,3,2024
68,Jun,11,2024
69,Jun,19,2024
70,Jun,27,2024
71,Jul,5,2024
72,Jul,13,2024
73,Jul,21,2024
74,Jul,29,2024
75,Aug,6,2024
76,Aug,14,2024
77,Aug,22,2024
78,Aug,30,2024
79,Sep,7,2024
80,Sep,15,2024
81,Sep,23,2024
82,Oct,1,2024
83,Oct,9,2024
84,Oct,17,2024
85,Oct,25,2024
86,Nov,2,2024
87,Nov,10,2024
88,Nov,18,2024
89,Nov,26,2024
90,Dec,4,2024
91,Dec,12,2024
92,Dec,20,2024
93,Dec,28,2024
94,Jan,5,2025
95,Jan,13,2025
96,Jan,21,2025
97,Jan,29,2025